Attribute,Pool,Pool_Thresh,Trait,Rarity
Eyes,2,100,Iridescent,
Eyes,2,100,Kawaii,
Eyes,2,100,Yellow,
Eyes,2,100,Slits,
Eyes,2,100,Lonesome,
Eyes,3,150,Winky,
Eyes,3,150,Blinky,
Eyes,3,150,Dichromatic,
Eyes,3,150,Scar,
Eyes,3,150,Iridescent,
Eyes,3,150,Kawaii,
Eyes,3,150,FourEyes,
Eyes,3,150,Ghostly,
Eyes,3,150,Fish,
Eyes,3,150,Eclipse,
Eyes,4,200,Winky,
Eyes,4,200,Blinky,
Eyes,4,200,Dichromatic,
Eyes,4,200,Scar,
Eyes,4,200,Iridescent,
Eyes,4,200,Kawaii,
Eyes,4,200,FourEyes,
Eyes,4,200,Ghostly,
Eyes,4,200,Fish,
Eyes,4,200,Eclipse,
Eyes,4,200,Multiple,
Eyes,4,200,Implant,
Eyes,4,200,Cyborg,
Eyes,4,200,TI3000,
Clothes,1,50,Ruffles,
Clothes,1,50,Detective,
Clothes,1,50,Conductor,
Clothes,1,50,Admiral,
Clothes,1,50,Over_Coat,
Clothes,1,50,Vest,
Clothes,2,100,Ruffles,
Clothes,2,100,Detective,
Clothes,2,100,Conductor,
Clothes,2,100,Admiral,
Clothes,2,100,Over_Coat,
Clothes,2,100,Vest,
Clothes,2,100,Lab_Coat,
Clothes,2,100,Owl,
Clothes,3,150,Pressure_Suit,
Clothes,3,150,Scuba_Suit,
Clothes,3,150,Corpse,
Clothes,3,150,Clockwork,
Clothes,3,150,Borg,
Clothes,3,150,Hazmat_Suit,
Clothes,4,200,Pressure_Suit,
Clothes,4,200,Scuba_Suit,
Clothes,4,200,Corpse,
Clothes,4,200,Clockwork,
Clothes,4,200,Borg,
Clothes,4,200,Hazmat_Suit,
Clothes,4,200,Bane,
Clothes,4,200,Neuromancer,
Clothes,4,200,Space_Suit,
Clothes,4,200,Battle_Cat,
Behind,1,50,No_Trait,
Behind,1,50,Prototype,
Behind,1,50,Factory_Arm,
Behind,1,50,Treat-dispenser,
Behind,1,50,Gears,
Behind,1,50,Roboclaw,
Behind,1,50,Pressure_Clock,
Behind,1,50,Pressure_Horn,
Behind,2,100,No_Trait,
Behind,2,100,Gears,
Behind,2,100,Roboclaw,
Behind,2,100,Pressure_Clock,
Behind,2,100,Pressure_Horn,
Behind,2,100,Telescope,
Behind,2,100,Steampunk_Pistons,
Behind,2,100,Workstation,
Behind,3,150,No_Trait,
Behind,3,150,Workstation,
Behind,3,150,Infinity_Clock,
Behind,3,150,Tesla_Coils,
Behind,3,150,Electrosyringe,
Behind,3,150,Neuromancer,
Behind,3,150,Satelite,
Behind,4,200,No_Trait,
Behind,4,200,Tesla_Coils,
Behind,4,200,Electrosyringe,
Behind,4,200,Neuromancer,
Behind,4,200,Satelite,
Behind,4,200,Dyson_Ring,
Behind,4,200,Dr_Manhatton-Spheres,
